Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri May 19 2023,SPX230519C00200000,0,0,3993.2,4013.9,0,0.02,1,0,0,200.00,SPX230519P00200000,0,0,0,0.4,0,0.949,-0.0002,0,0
Fri May 19 2023,SPX230519C00400000,0,0,3799.4,3819.7,0,0.02,1,0,0,400.00,SPX230519P00400000,0.95,0.25,0.5,0.95,10,0.817,-0.0007,0,1
Fri May 19 2023,SPX230519C00600000,0,0,3606,3626.2,0,0.02,1,0,0,600.00,SPX230519P00600000,1.55,-0.025,1.4,2.2,1,0.7377,-0.0016,0,2
Fri May 19 2023,SPX230519C00800000,0,0,3413,3433,0,0.02,1,0,0,800.00,SPX230519P00800000,3,0,2.8,3.9,0,0.6763,-0.003,0,3
Fri May 19 2023,SPX230519C01000000,0,0,3220.6,3240.4,0,0.02,0.9985,0,0,1000.00,SPX230519P01000000,0,0,4.8,6.1,0,0.6238,-0.005,0,0
Fri May 19 2023,SPX230519C01200000,0,0,3028.8,3048.4,0,0.02,0.9956,0,0,1200.00,SPX230519P01200000,0,0,7.5,9,0,0.5793,-0.0079,0,0
Fri May 19 2023,SPX230519C01400000,0,0,2837.8,2857.1,0,0.02,0.9918,0,0,1400.00,SPX230519P01400000,0,0,10.9,12.6,0,0.5416,-0.0118,0,0
Fri May 19 2023,SPX230519C01600000,0,0,2647.6,2666.7,0,0.02,0.9869,0,0,1600.00,SPX230519P01600000,12.2,0,15.2,17,0,0.5071,-0.0167,0,3
Fri May 19 2023,SPX230519C01800000,0,0,2458.5,2477.4,0,0.02,0.9807,0,0,1800.00,SPX230519P01800000,0,0,20.5,22.4,0,0.4754,-0.0228,0,0
Fri May 19 2023,SPX230519C01900000,0,0,2364.3,2383.1,0,0.02,0.977,0,0,1900.00,SPX230519P01900000,0,0,23.5,25.5,0,0.4604,-0.0265,0,0
Fri May 19 2023,SPX230519C02000000,0,0,2270.5,2289.1,0,0.02,0.9729,0,0,2000.00,SPX230519P02000000,26.3,3.4,26.9,28.9,1,0.446,-0.0306,0,0
Fri May 19 2023,SPX230519C02100000,0,0,2177.1,2195.5,0,0.02,0.9683,0,0,2100.00,SPX230519P02100000,0,0,30.5,32.8,0,0.4321,-0.0352,0,0
Fri May 19 2023,SPX230519C02200000,0,0,2084,2102.3,0,0,0.9631,0,0,2200.00,SPX230519P02200000,0,0,34.8,37,0,0.4186,-0.0404,0,0
Fri May 19 2023,SPX230519C02300000,0,0,1991.5,2009.3,0,0,0.9572,0,0,2300.00,SPX230519P02300000,0,0,39.4,41.7,0,0.4058,-0.0463,0,0
Fri May 19 2023,SPX230519C02400000,0,0,1899.5,1917.1,0,0.4253,0.9507,0.0001,0,2400.00,SPX230519P02400000,0,0,44.6,46.9,0,0.3936,-0.0528,0.0001,0
Fri May 19 2023,SPX230519C02500000,0,0,1808.2,1825.7,0,0.4132,0.9433,0.0001,0,2500.00,SPX230519P02500000,0,0,50.7,52.8,0,0.3819,-0.0602,0.0001,0
Fri May 19 2023,SPX230519C02600000,0,0,1717.5,1734.8,0,0.4012,0.935,0.0001,0,2600.00,SPX230519P02600000,0,0,57,59.3,0,0.3704,-0.0686,0.0001,0
Fri May 19 2023,SPX230519C02650000,0,0,1672.5,1689.4,0,0.3955,0.9304,0.0001,0,2650.00,SPX230519P02650000,0,0,60.5,62.9,0,0.3648,-0.0731,0.0001,0
Fri May 19 2023,SPX230519C02700000,0,0,1627.7,1644.5,0,0.3897,0.9256,0.0001,0,2700.00,SPX230519P02700000,0,0,64.2,66.7,0,0.3593,-0.0779,0.0001,0
Fri May 19 2023,SPX230519C02750000,0,0,1583.2,1599.8,0,0.3841,0.9205,0.0001,0,2750.00,SPX230519P02750000,0,0,68.1,70.8,0,0.354,-0.083,0.0001,0
Fri May 19 2023,SPX230519C02800000,0,0,1538.9,1555.5,0,0.3786,0.9151,0.0001,0,2800.00,SPX230519P02800000,0,0,72.3,75.1,0,0.3487,-0.0884,0.0001,0
Fri May 19 2023,SPX230519C02850000,0,0,1494.9,1511.3,0,0.3732,0.9094,0.0001,0,2850.00,SPX230519P02850000,0,0,76.8,79.6,0,0.3437,-0.0941,0.0001,0
Fri May 19 2023,SPX230519C02900000,0,0,1451.1,1467.1,0,0.3678,0.9034,0.0001,0,2900.00,SPX230519P02900000,0,0,81.5,84.5,0,0.3387,-0.1002,0.0001,0
