
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Sep 16 2022,SPX220916C00200000,4283.9,0,4029.5,4039.3,0,3.0768,0.9992,0,83,200.00,SPX220916P00200000,0.05,0.025,0,0.1,35,1.3913,0,0,817
Fri Sep 16 2022,SPX220916C00400000,0,0,3830.9,3840.5,0,2.2729,0.9991,0,33,400.00,SPX220916P00400000,0.09,0,0.1,0.15,0,1.0978,-0.0001,0,6399
Fri Sep 16 2022,SPX220916C00600000,3827.84,0,3632.4,3642,0,1.8639,0.9987,0,11,600.00,SPX220916P00600000,0.4,0.1,0.35,0.45,50,1.0228,-0.0005,0,31769
Fri Sep 16 2022,SPX220916C00800000,3644.8,0,3434.1,3443.6,0,1.5942,0.9982,0,70,800.00,SPX220916P00800000,0.55,0,0.7,0.95,0,0.9352,-0.001,0,19381
Fri Sep 16 2022,SPX220916C01000000,3293.66,-88.19,3236,3245.5,400,1.3932,0.9973,0,7565,1000.00,SPX220916P01000000,1.22,0.145,1.35,1.55,405,0.8581,-0.0019,0,14055
Fri Sep 16 2022,SPXW220916C01000000,0,0,3234.6,3252.6,0,1.4018,0.9973,0,0,1000.00,SPXW220916P01000000,0,0,1.4,1.55,0,0.8571,-0.0019,0,0
Fri Sep 16 2022,SPX220916C01100000,3275.69,0,3137,3146.4,0,1.311,0.9968,0,1,1100.00,SPX220916P01100000,1.5,0.15,1.7,1.95,5,0.8237,-0.0025,0,4118
Fri Sep 16 2022,SPXW220916C01100000,0,0,3135.6,3153.6,0,1.3174,0.9968,0,0,1100.00,SPXW220916P01100000,0,0,1.75,1.9,0,0.8215,-0.0025,0,0
Fri Sep 16 2022,SPX220916C01200000,3153.68,0,3037.9,3047.3,0,1.2355,0.9961,0,1,1200.00,SPX220916P01200000,1.45,0,2.15,2.35,0,0.7891,-0.0031,0,4573
Fri Sep 16 2022,SPXW220916C01200000,0,0,3035.8,3054.7,0,1.2418,0.9961,0,0,1200.00,SPXW220916P01200000,0,0,2.2,2.35,0,0.7893,-0.0031,0,0
Fri Sep 16 2022,SPX220916C01300000,3081.13,0,2939,2948.4,0,1.1655,0.9954,0,1,1300.00,SPX220916P01300000,1.75,0,2.6,2.85,0,0.7586,-0.0038,0,5467
Fri Sep 16 2022,SPXW220916C01300000,0,0,2937.6,2955.8,0,1.1695,0.9953,0,0,1300.00,SPXW220916P01300000,0,0,2.7,2.85,0,0.7587,-0.0039,0,0
Fri Sep 16 2022,SPX220916C01400000,2750.85,0,2840.2,2849.6,0,1.1026,0.9944,0,1,1400.00,SPX220916P01400000,2.72,0,3.2,3.5,0,0.7315,-0.0048,0,2114
Fri Sep 16 2022,SPXW220916C01400000,0,0,2838,2857,0,1.1072,0.9945,0,0,1400.00,SPXW220916P01400000,0,0,3.2,3.4,0,0.7299,-0.0048,0,0
Fri Sep 16 2022,SPX220916C01500000,0,0,2741.7,2751,0,1.0445,0.9934,0,0,1500.00,SPX220916P01500000,3,0,3.8,4.1,900,0.7022,-0.0058,0,6125
Fri Sep 16 2022,SPXW220916C01500000,0,0,2739.2,2758.3,0,1.0487,0.9934,0,0,1500.00,SPXW220916P01500000,0,0,3.9,4.1,0,0.7002,-0.0059,0,0
Fri Sep 16 2022,SPX220916C01600000,2555.23,0,2643,2652.3,0,0.991,0.9922,0,4,1600.00,SPX220916P01600000,3.1,0,4.5,4.9,0,0.6757,-0.0071,0,6225
Fri Sep 16 2022,SPXW220916C01600000,0,0,2640.3,2659.6,0,0.9971,0.9921,0,0,1600.00,SPXW220916P01600000,0,0,4.6,4.9,0,0.675,-0.0071,0,0
Fri Sep 16 2022,SPX220916C01700000,2753.54,0,2544.5,2553.8,0,0.9412,0.9907,0,118,1700.00,SPX220916P01700000,5.1,1,5.4,5.8,4,0.6506,-0.0086,0,4464
Fri Sep 16 2022,SPXW220916C01700000,0,0,2541.8,2561.1,0,0.9464,0.9906,0,0,1700.00,SPXW220916P01700000,4,0,5.5,5.8,0,0.6508,-0.0086,0,10
Fri Sep 16 2022,SPX220916C01800000,2540.23,0,2446.1,2455.3,0,0.8943,0.989,0,310,1800.00,SPX220916P01800000,4.9,0,6.3,6.8,0,0.6266,-0.0102,0,5269
Fri Sep 16 2022,SPXW220916C01800000,0,0,2443.3,2462.6,0,0.8971,0.9889,0,0,1800.00,SPXW220916P01800000,5.4,0.55,6.5,6.8,10,0.6267,-0.0103,0,23
Fri Sep 16 2022,SPX220916C01900000,2488.84,0,2347.6,2356.8,0,0.8505,0.9871,0,2,1900.00,SPX220916P01900000,5.2,0,7.4,7.9,0,0.604,-0.0122,0,5312
Fri Sep 16 2022,SPXW220916C01900000,0,0,2342.6,2364,0,0.8548,0.987,0,0,1900.00,SPXW220916P01900000,5.34,0,7.6,7.9,0,0.604,-0.0123,0,10
Fri Sep 16 2022,SPX220916C02000000,2305.99,-86.66,2249.6,2258.8,400,0.809,0.9849,0,8318,2000.00,SPX220916P02000000,8.1,1.65,8.6,9.1,3642,0.5817,-0.0143,0,20992
Fri Sep 16 2022,SPXW220916C02000000,0,0,2244.1,2265.5,0,0.8127,0.9847,0,0,2000.00,SPXW220916P02000000,0,0,8.8,9.2,0,0.5817,-0.0145,0,0
Fri Sep 16 2022,SPX220916C02100000,2297.03,0,2151.5,2160.6,0,0.7699,0.9822,0,2,2100.00,SPX220916P02100000,10.05,2.6,10,10.6,106,0.5598,-0.017,0,3420
Fri Sep 16 2022,SPXW220916C02100000,0,0,2146.1,2167.9,0,0.7717,0.9821,0,0,2100.00,SPXW220916P02100000,7.22,0,10.2,10.6,0,0.5602,-0.0171,0,50
Fri Sep 16 2022,SPX220916C02200000,0,0,2053.6,2062.7,0,0.7329,0.9794,0,0,2200.00,SPX220916P02200000,11.15,2.6,11.5,12.1,81,0.539,-0.0199,0,8612
Fri Sep 16 2022,SPXW220916C02200000,0,0,2048.2,2070,0,0.7359,0.9792,0,0,2200.00,SPXW220916P02200000,0,0,11.7,12.2,0,0.5393,-0.02,0,0
Fri Sep 16 2022,SPX220916C02300000,0,0,1956.2,1965.2,0,0.6975,0.976,0,0,2300.00,SPX220916P02300000,13.5,3.7,13.3,13.8,70,0.5189,-0.0232,0,4949
