Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Mon May 02 2022,SPXW220502C01000000,0,0,3250,3268.1,0,5.5716,0.9997,0,0,1000.00,SPXW220502P01000000,0,0,0,0.05,0,2.3907,0,0,0
Mon May 02 2022,SPXW220502C01200000,0,0,3050,3068.1,0,4.8992,0.9996,0,0,1200.00,SPXW220502P01200000,0.05,0,0,0.05,0,2.0866,0,0,1
Mon May 02 2022,SPXW220502C01400000,0,0,2850,2868.1,0,4.3428,0.9996,0,0,1400.00,SPXW220502P01400000,0.05,0,0,0.05,0,1.8442,-0.0001,0,3
Mon May 02 2022,SPXW220502C01600000,0,0,2652.1,2668.2,0,3.8633,0.9996,0,0,1600.00,SPXW220502P01600000,0.05,0,0,0.05,0,1.6208,-0.0001,0,3
Mon May 02 2022,SPXW220502C01800000,0,0,2450.1,2468.2,0,3.445,0.9995,0,0,1800.00,SPXW220502P01800000,0.07,0,0,0.05,0,1.4385,-0.0002,0,3
Mon May 02 2022,SPXW220502C02000000,2469.67,0,2250.1,2268.2,0,3.0726,0.9994,0,1,2000.00,SPXW220502P02000000,0.05,0,0,0.1,0,1.2659,-0.0002,0,4
Mon May 02 2022,SPXW220502C02200000,0,0,2050.2,2068.3,0,2.7393,0.9993,0,0,2200.00,SPXW220502P02200000,0.05,0.025,0,0.1,29,1.1693,-0.0004,0,1
Mon May 02 2022,SPXW220502C02400000,0,0,1850.3,1868.4,0,2.4428,0.9991,0,0,2400.00,SPXW220502P02400000,0.1,0.075,0.05,0.2,84,1.0773,-0.0006,0,20
Mon May 02 2022,SPXW220502C02600000,0,0,1650.4,1668.5,0,2.1471,0.9988,0,0,2600.00,SPXW220502P02600000,0.15,0.1,0.1,0.25,58,0.9644,-0.0009,0,42
Mon May 02 2022,SPXW220502C02800000,0,0,1450.6,1468.7,0,1.8925,0.9982,0,0,2800.00,SPXW220502P02800000,0.05,0,0.2,0.35,0,0.8573,-0.0014,0,38
Mon May 02 2022,SPXW220502C03000000,0,0,1255.8,1263.3,0,1.6351,0.9972,0,0,3000.00,SPXW220502P03000000,0.5,0.3,0.4,0.5,688,0.7661,-0.0025,0,825
Mon May 02 2022,SPXW220502C03200000,0,0,1056.5,1063.7,0,1.4039,0.9951,0,0,3200.00,SPXW220502P03200000,0.78,0.455,0.7,0.85,37,0.6661,-0.0046,0,3155
Mon May 02 2022,SPXW220502C03300000,0,0,956.8,963.9,0,1.2897,0.9933,0,0,3300.00,SPXW220502P03300000,1.01,0.61,0.9,1.1,190,0.6196,-0.0064,0,137
Mon May 02 2022,SPXW220502C03400000,0,0,857.1,864.2,0,1.1777,0.991,0.0001,0,3400.00,SPXW220502P03400000,1.1,0.575,1.2,1.4,232,0.5702,-0.0087,0.0001,1021
