Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Apr 21 2023,SPX230421C00200000,4148.9,0,3999.8,4016.9,0,0.02,1,0,19,200.00,SPX230421P00200000,0.22,0,0,0.35,0,0.9842,-0.0002,0,1
Fri Apr 21 2023,SPX230421C00400000,4058.24,0,3805.2,3822.4,0,0.02,1,0,1,400.00,SPX230421P00400000,0,0,0.7,0.9,0,0.8473,-0.0007,0,1
Fri Apr 21 2023,SPX230421C00600000,0,0,3611.2,3628.2,0,0.02,1,0,0,600.00,SPX230421P00600000,1.35,0,1.65,2.05,0,0.7625,-0.0015,0,4
Fri Apr 21 2023,SPX230421C00800000,0,0,3417.5,3434.4,0,0.02,1,0,0,800.00,SPX230421P00800000,3.2,0.525,2.9,3.6,4,0.6923,-0.0029,0,1
Fri Apr 21 2023,SPX230421C01000000,0,0,3224.4,3241,0,0.02,0.998,0,0,1000.00,SPX230421P01000000,4.05,0,4.7,5.7,0,0.6407,-0.0049,0,3
Fri Apr 21 2023,SPX230421C01200000,0,0,3031.9,3048.3,0,0.02,0.9952,0,0,1200.00,SPX230421P01200000,5.8,0,7.2,8.4,0,0.5952,-0.0077,0,64
Fri Apr 21 2023,SPX230421C01400000,0,0,2840,2856.2,0,0.02,0.9915,0,0,1400.00,SPX230421P01400000,0,0,10.5,11.7,0,0.5548,-0.0114,0,0
Fri Apr 21 2023,SPX230421C01600000,0,0,2649,2665,0,0.02,0.9868,0,0,1600.00,SPX230421P01600000,11,0,14.6,15.8,0,0.5191,-0.0161,0,6
Fri Apr 21 2023,SPX230421C01800000,0,0,2458.9,2474.6,0,0.02,0.9808,0,0,1800.00,SPX230421P01800000,13.97,0,19.5,20.8,0,0.486,-0.0221,0,1
Fri Apr 21 2023,SPX230421C01900000,0,0,2364.2,2379.9,0,0.02,0.9773,0,0,1900.00,SPX230421P01900000,17.15,0,22.4,23.7,0,0.4702,-0.0256,0,1
Fri Apr 21 2023,SPX230421C02000000,0,0,2269.9,2285.4,0,0.02,0.9734,0,0,2000.00,SPX230421P02000000,21.39,0,25.5,26.9,0,0.4553,-0.0296,0,1
Fri Apr 21 2023,SPX230421C02100000,0,0,2175.9,2191.3,0,0,0.9689,0,0,2100.00,SPX230421P02100000,27.74,3.64,29,30.5,2,0.441,-0.034,0,2
Fri Apr 21 2023,SPX230421C02200000,0,0,2082.3,2097.5,0,0,0.9639,0,0,2200.00,SPX230421P02200000,27.6,0,32.9,34.4,0,0.427,-0.039,0,1
Fri Apr 21 2023,SPX230421C02300000,2124.62,0,1989.2,2004.2,0,0.4542,0.9583,0,1,2300.00,SPX230421P02300000,31.35,0,37.2,38.8,0,0.4137,-0.0447,0,1
Fri Apr 21 2023,SPX230421C02400000,2031.17,0,1896.5,1911.4,0,0.4402,0.9519,0.0001,1,2400.00,SPX230421P02400000,0,0,42,43.7,0,0.4008,-0.051,0.0001,0
Fri Apr 21 2023,SPX230421C02500000,0,0,1804.5,1819.2,0,0.4267,0.9447,0.0001,0,2500.00,SPX230421P02500000,44.7,5.2,47.3,49.2,20,0.3884,-0.0582,0.0001,50
Fri Apr 21 2023,SPX230421C02600000,0,0,1713.2,1727.6,0,0.4136,0.9366,0.0001,0,2600.00,SPX230421P02600000,40.87,0,53.3,55.3,0,0.3765,-0.0663,0.0001,185
Fri Apr 21 2023,SPX230421C02650000,0,0,1667.8,1682.1,0,0.4071,0.9322,0.0001,0,2650.00,SPX230421P02650000,48.8,0,56.5,58.6,0,0.3706,-0.0707,0.0001,11
Fri Apr 21 2023,SPX230421C02700000,0,0,1622.6,1636.8,0,0.4008,0.9275,0.0001,0,2700.00,SPX230421P02700000,52,0,60,62.2,0,0.3649,-0.0754,0.0001,95
Fri Apr 21 2023,SPX230421C02750000,0,0,1577.7,1591.7,0,0.3946,0.9225,0.0001,0,2750.00,SPX230421P02750000,51,0,63.7,65.9,0,0.3592,-0.0804,0.0001,1
Fri Apr 21 2023,SPX230421C02800000,0,0,1533,1546.9,0,0.3886,0.9172,0.0001,0,2800.00,SPX230421P02800000,54.15,0,67.7,69.9,0,0.3538,-0.0858,0.0001,3
Fri Apr 21 2023,SPX230421C02850000,0,0,1488.5,1502.3,0,0.3827,0.9116,0.0001,0,2850.00,SPX230421P02850000,0,0,71.9,74.2,0,0.3484,-0.0914,0.0001,0
Fri Apr 21 2023,SPX230421C02900000,0,0,1444.4,1458,0,0.3769,0.9056,0.0001,0,2900.00,SPX230421P02900000,71.01,7.06,76.5,78.7,2,0.3431,-0.0973,0.0001,3
Fri Apr 21 2023,SPX230421C02950000,0,0,1400.5,1414,0,0.3712,0.8993,0.0001,0,2950.00,SPX230421P02950000,0,0,81.3,83.6,0,0.3382,-0.1036,0.0001,0
