
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Jul 15 2022,SPX220715C00200000,4184.19,0,4040.7,4049.9,0,4.3023,0.9987,0,158,200.00,SPX220715P00200000,0.03,0,0,0.05,0,1.7603,-0.0001,0,79
Fri Jul 15 2022,SPX220715C00400000,3980.44,0,3841.1,3850.3,0,3.1424,0.9986,0,25,400.00,SPX220715P00400000,0.07,0,0,0.05,0,1.3447,-0.0002,0,82
Fri Jul 15 2022,SPX220715C00600000,0,0,3641.7,3650.8,0,2.5668,0.9985,0,0,600.00,SPX220715P00600000,0.1,0.075,0.05,0.15,50,1.2025,-0.0003,0,2958
Fri Jul 15 2022,SPX220715C00800000,0,0,3442.6,3451.6,0,2.1794,0.9984,0,11,800.00,SPX220715P00800000,0.22,0.07,0.15,0.25,277,1.1029,-0.0005,0,1397
Fri Jul 15 2022,SPX220715C01000000,0,0,3243.4,3252.4,0,1.8964,0.9981,0,1,1000.00,SPX220715P01000000,0.35,0.15,0.35,0.45,40,1.0089,-0.0007,0,2031
Fri Jul 15 2022,SPX220715C01100000,0,0,3143.8,3152.8,0,1.7773,0.998,0,0,1100.00,SPX220715P01100000,0.45,0.1,0.5,0.7,250,0.9682,-0.0009,0,1462
Fri Jul 15 2022,SPX220715C01200000,0,0,3044.3,3053.3,0,1.6732,0.9977,0,0,1200.00,SPX220715P01200000,0.3,0,0.65,0.85,0,0.9264,-0.0011,0,5789
Fri Jul 15 2022,SPX220715C01300000,0,0,2944.8,2953.7,0,1.5736,0.9974,0,0,1300.00,SPX220715P01300000,0.75,0.15,0.8,1.05,2,0.8877,-0.0014,0,1508
Fri Jul 15 2022,SPX220715C01400000,0,0,2845.3,2854.2,0,1.4853,0.997,0,0,1400.00,SPX220715P01400000,1,0.25,1.05,1.3,5012,0.8557,-0.0018,0,2778
Fri Jul 15 2022,SPX220715C01500000,0,0,2745.9,2754.8,0,1.4028,0.9965,0,0,1500.00,SPX220715P01500000,1.25,0.35,1.3,1.55,50,0.8233,-0.0023,0,8065
